Stock,Take_Profit,Stop_Loss,Profit,Max_Drawdown,Hit_Ratio
"STK,RELIANCE, INR",20,10,47.295,-17.881625,63.63636364
"STK,RELIANCE, INR",16,7,5.7793625,-21.4644875,38.46153846
"STK,RELIANCE, INR",2,10,1.5478,-6.384125,83.33333333
"STK,TCS, INR",20,9,83.5412375,-31.3832875,56.25
"STK,TCS, INR",11,5,-15.21205,-44.9518625,27.77777778
"STK,TCS, INR",2,6,9.9442,-10.734975,83.33333333
"STK,HDFCBANK,INR",15,7,58.074925,-8.2284875,66.66666667
"STK,HDFCBANK,INR",17,10,23.4068375,-19.204125,50
"STK,HDFCBANK,INR",2,7,8.232075,-4.0935,90.47619048
"STK,BHARTIART,INR",20,9,35.579,-3.8153,73.33333333
"STK,BHARTIART,INR",17,6,19.00595,-6.87495,53.33333333
"STK,BHARTIART,INR",2,9,-0.46275,-3.8153,80
"STK,ICICIBANK, INR",20,8,15.9147,-8.2354,50
"STK,ICICIBANK, INR",15,10,6.247125,-10.28175,50
"STK,ICICIBANK, INR",2,9,-1.38665,-5.0678,77.77777778
"STK,INFY, INR",11,9,48.8243375,-4.25665,80
"STK,INFY, INR",19,10,28.03485,-18.4343125,50
"STK,INFY, INR",2,8,2.4098,-3.7848,85
"STK,SBIN, INR",20,10,8.302375,-4.35225,50
"STK,SBIN, INR",20,6,-9.156175,-8.6334,5.882352941
"STK,SBIN, INR",2,10,0.720525,-1.24675,82.35294118
"STK,HINDUNILVR, INR",20,10,8.302375,-4.35225,50
"STK,HINDUNILVR, INR",20,6,-9.156175,-8.6334,5.882352941
"STK,HINDUNILVR, INR",2,10,0.720525,-1.24675,82.35294118
"STK,ITC, INR",20,7,4.5485125,-0.4139875,80
"STK,ITC, INR",7,5,-0.0186875,-0.9148125,40
"STK,ITC, INR",2,7,0.565675,0,100
"STK,LT, INR",18,10,66.057625,-4.551875,90
"STK,LT, INR",2,5,-4.51125,-5.8187375,63.63636364
"STK,LT, INR",2,10,5.02935,-4.551875,90.90909091
"STK,HCLTECH, INR",19,7,40.2301125,-5.4939125,64.70588235
"STK,HCLTECH, INR",20,10,28.9235,-12.306375,58.82352941
"STK,HCLTECH, INR",2,5,8.634775,-1.500125,94.73684211
"STK,ONGC, INR",20,9,2.2774125,-0.1948375,80
"STK,ONGC, INR",19,8,1.1433,-0.4892,60
"STK,ONGC, INR",2,9,0.2423,0,100
"STK,SUNPHARMA, INR",20,4,53.2985,-0.93605,85.71428571
"STK,SUNPHARMA, INR",5,10,14.2285625,-2.325125,87.5
"STK,SUNPHARMA, INR",2,4,7.5608,0,100
"STK,BAJFINANCE, INR",20,4,53.2985,-0.93605,85.71428571
"STK,BAJFINANCE, INR",5,10,14.2285625,-2.325125,87.5
"STK,BAJFINANCE, INR",2,4,7.5608,0,100
"STK,TATAMOTOR, INR",19,7,10.6809375,0,100
"STK,TATAMOTOR, INR",3,3,-1.2781125,-1.26065,33.33333333
"STK,TATAMOTOR, INR",2,7,1.070625,0,100
"STK,NTPC, INR",17,6,5.1382,0,83.33333333
"STK,NTPC, INR",2,5,0.013325,-0.31125,66.66666667
"STK,NTPC, INR",2,6,0.40795,0,83.33333333
"STK,MARUTI, INR",18,9,349.5513125,-21.1641625,75
"STK,MARUTI, INR",16,7,96.658575,-63.1056125,47.05882353
"STK,MARUTI, INR",2,10,49.622425,-16.124875,94.11764706
"STK,AXISBANK, INR",19,10,29.9969375,-8.228375,64.70588235
"STK,AXISBANK, INR",20,6,-5.77445,-14.3657,17.64705882
"STK,AXISBANK, INR",2,8,1.9255,-2.6288,88.23529412
"STK,KOTAKBANK, INR",12,9,30.778325,-12.058725,68.75
"STK,KOTAKBANK, INR",18,10,6.48705,-31.5515,43.75
"STK,KOTAKBANK, INR",2,9,2.2734375,-5.0468875,87.5
"STK,ADANIENT, INR",20,4,43.9667,-5.56255,57.14285714
"STK,ADANIENT, INR",11,10,14.191775,-13.861375,71.42857143
"STK,ADANIENT, INR",2,8,3.540525,-3.4985,92.85714286
"STK,M_M, INR",20,4,43.9667,-5.56255,57.14285714
"STK,M_M, INR",11,10,14.191775,-13.861375,71.42857143
"STK,M_M, INR",2,8,3.540525,-3.4985,92.85714286
"STK,ULTRACEMCO, INR",20,4,43.9667,-5.56255,57.14285714
"STK,ULTRACEMCO, INR",11,10,14.191775,-13.861375,71.42857143
"STK,ULTRACEMCO, INR",2,8,3.540525,-3.4985,92.85714286
"STK,ADANIPORTS, INR",20,4,43.9667,-5.56255,57.14285714
"STK,ADANIPORTS, INR",11,10,14.191775,-13.861375,71.42857143
"STK,ADANIPORTS, INR",2,8,3.540525,-3.4985,92.85714286
"STK,COALINDIA, INR",20,8,2.469,-0.5722,50
"STK,COALINDIA, INR",8,6,-0.899125,-1.035975,25
"STK,COALINDIA, INR",2,4,0.3127,0,87.5
"STK,POWERGRID, INR",20,10,2.175875,-0.408,62.5
"STK,POWERGRID, INR",6,10,-0.039275,-0.7885,62.5
"STK,POWERGRID, INR",2,8,0.418175,0,100
"STK,TITAN, INR",20,9,21.527,-11.7898625,55.55555556
"STK,TITAN, INR",13,8,-17.63145,-27.752,33.33333333
"STK,TITAN, INR",2,5,-4.0125875,-7.999375,66.66666667
"STK,ASIANPAINT, INR",20,9,21.527,-11.7898625,55.55555556
"STK,ASIANPAINT, INR",13,8,-17.63145,-27.752,33.33333333
"STK,ASIANPAINT, INR",2,5,-4.0125875,-7.999375,66.66666667
"STK,BAJAJ_AUTO, INR",20,9,21.527,-11.7898625,55.55555556
"STK,BAJAJ_AUTO, INR",13,8,-17.63145,-27.752,33.33333333
"STK,BAJAJ_AUTO, INR",2,5,-4.0125875,-7.999375,66.66666667
"STK,WIPRO, INR",20,2,2.705175,-1.40955,20
"STK,WIPRO, INR",6,10,-7.482925,-7.901125,35.71428571
"STK,WIPRO, INR",2,8,-5.109925,-5.174025,53.33333333
"STK,BAJAJFINSV, INR",20,2,2.705175,-1.40955,20
"STK,BAJAJFINSV, INR",6,10,-7.482925,-7.901125,35.71428571
"STK,BAJAJFINSV, INR",2,8,-5.109925,-5.174025,53.33333333
"STK,NESTLEIND, INR",20,10,75.556375,-9.4785,76.92307692
"STK,NESTLEIND, INR",20,7,6.78085,-25.9788625,30.76923077
"STK,NESTLEIND, INR",2,9,10.2227125,-4.1856625,93.75
"STK,JSWSTEEL, INR",20,10,11.923375,-1.75125,70
"STK,JSWSTEEL, INR",18,7,6.0409,-2.252125,54.54545455
"STK,JSWSTEEL, INR",2,10,1.778725,-0.54725,90.90909091
"STK,TATASTEEL, INR",13,0,0.338845,-0.07,15.38461538
"STK,TATASTEEL, INR",7,10,-1.63179,-1.9955675,46.15384615
"STK,TATASTEEL, INR",2,6,-0.153255,-0.446975,76.92307692
"STK,GRASIM, INR",20,10,72.49525,-7.038875,75
"STK,GRASIM, INR",3,10,6.523775,-7.038875,90.47619048
"STK,GRASIM, INR",2,7,10.2382,-2.796175,95.23809524
"STK,LTIM, INR",10,10,106.383875,-10.844,80
"STK,LTIM, INR",16,10,39.97225,-61.305,46.66666667
"STK,LTIM, INR",2,10,23.668275,-4.75375,93.33333333
"STK,SBILIFE, INR",14,3,6.5751625,-5.5225125,30.76923077
"STK,SBILIFE, INR",15,10,-9.476375,-24.085625,30.76923077
"STK,SBILIFE, INR",2,8,-2.551075,-5.168325,71.42857143
"STK,TECHM, INR",16,7,23.448575,-2.865675,70
"STK,TECHM, INR",18,10,8.8633,-6.783,50
"STK,TECHM, INR",2,4,1.8646,-1.1486,80
"STK,BPCL, INR",18,3,3.6836125,-0.5935375,45.45454545
"STK,BPCL, INR",15,10,0.6925,-1.885125,45.45454545
"STK,BPCL, INR",2,9,0.4776375,-0.4745125,90.90909091
"STK,HINDALCO, INR",20,5,3.2871875,-1.0775625,30
"STK,HINDALCO, INR",12,10,-0.4118,-2.24865,40
"STK,HINDALCO, INR",2,7,0.9734125,-0.3838875,90
"STK,HDFCLIFE, INR",7,9,6.2675,-1.42615,73.33333333
"STK,HDFCLIFE, INR",20,10,-14.44925,-17.01475,13.33333333
"STK,HDFCLIFE, INR",2,7,0.8726125,-1.11145,81.25
"STK,BRITANNIA, INR",7,9,6.2675,-1.42615,73.33333333
"STK,BRITANNIA, INR",20,10,-14.44925,-17.01475,13.33333333
"STK,BRITANNIA, INR",2,7,0.8726125,-1.11145,81.25
